Time (ms),GROOV-EPIC:M7_CA.Value
28.62,863.586
28.64,863.586
28.66,863.586
28.68,863.586
28.70,863.641
28.72,863.641
28.74,863.641
28.76,863.641
28.78,863.641
28.80,863.641
28.82,863.641
28.84,863.641
28.86,863.641
28.88,863.641
28.90,863.641
28.92,863.641
28.94,863.641
28.96,863.836
28.98,863.836
29.00,863.836
29.02,863.836
29.04,863.836
29.06,863.836
29.08,863.836
29.10,863.836
29.12,863.836
29.14,863.836
29.16,863.586
29.18,863.586
29.20,863.586
29.22,863.586
29.24,863.586
29.26,863.586
29.28,863.586
29.30,863.586
29.32,863.586
29.34,863.586
29.36,863.586
29.38,863.586
29.40,863.586
29.42,863.641
29.44,863.641
29.46,863.641
29.48,863.641
29.50,863.641
29.52,863.641
29.54,863.641
29.56,863.641
29.58,863.641
29.60,863.641
29.62,863.641
29.64,863.641
29.66,863.641
29.68,863.836
29.70,863.836
29.72,863.836
29.74,863.836
29.76,863.836
29.78,863.836
29.80,863.836
29.82,863.836
29.84,863.836
29.86,863.836
29.88,863.586
29.90,863.586
29.92,863.586
29.94,863.586
29.96,863.586
29.98,863.586
30.00,863.586
30.02,863.586
30.04,863.586
30.06,863.586
30.08,863.586
30.10,863.586
30.12,863.586
30.14,863.641
30.16,863.641
30.18,863.641
30.20,863.641
30.22,863.641
30.24,863.641
30.26,863.641
30.28,863.641
30.30,863.641
30.32,863.641
30.34,863.641
30.36,863.641
30.38,863.641
30.40,863.836
30.42,863.836
30.44,863.836
30.46,863.836
30.48,863.836
30.50,863.836
30.52,863.836
30.54,863.836
30.56,863.836
30.58,863.836
30.60,863.586
30.62,863.586
30.64,863.586
30.66,863.586
30.68,863.586
30.70,863.586
30.72,863.586
30.74,863.586
30.76,863.586
30.78,863.586
30.80,863.586
30.82,863.586
30.84,863.586
30.86,863.641
30.88,863.641
30.90,863.641
30.92,863.641
30.94,863.641
30.96,863.641
30.98,863.641
31.00,863.641
31.02,863.641
31.04,863.641
31.06,863.641
31.08,863.641
31.10,863.641
31.12,863.836
31.14,863.836
31.16,863.836
31.18,863.836
31.20,863.836
31.22,863.836
31.24,863.836
31.26,863.836
31.28,863.836
31.30,863.836
31.32,863.586
31.34,863.586
31.36,863.586
31.38,863.586
31.40,863.586
31.42,863.586
31.44,863.586
31.46,863.586
31.48,863.586
31.50,863.586
31.52,863.586
31.54,863.586
31.56,863.586
31.58,863.641
31.60,863.641
31.62,863.641
31.64,863.641
31.66,863.641
31.68,863.641
31.70,863.641
31.72,863.641
31.74,863.641
31.76,863.641
31.78,863.641
31.80,863.641
31.82,863.641
31.84,863.836
31.86,863.836
31.88,863.836
31.90,863.836
31.92,863.836
31.94,863.836
31.96,863.836
31.98,863.836
32.00,863.836
32.02,863.836
32.04,863.586
32.06,863.586
32.08,863.586
32.10,863.586
32.12,863.586
32.14,863.586
32.16,863.586
32.18,863.586
32.20,863.586
32.22,863.586
32.24,863.586
32.26,863.586
32.28,863.586
32.30,863.641
32.32,863.641
32.34,863.641
32.36,863.641
32.38,863.641
32.40,863.641
32.42,863.641
32.44,863.641
32.46,863.641
32.48,863.641
32.50,863.641
32.52,863.641
32.54,863.641
32.56,863.641
32.58,863.641
32.60,863.641
32.62,863.641
32.64,863.641
32.66,863.641
32.68,863.641
32.70,863.641
32.72,863.641
32.74,863.641
32.76,863.641
32.78,863.641
32.80,863.641
32.82,863.641
32.84,863.641
32.86,863.641
32.88,863.641
32.90,863.641
32.92,863.641
32.94,863.641
32.96,863.641
32.98,863.641
33.00,863.641
33.02,863.641
33.04,863.641
33.06,863.641
33.08,863.641
33.10,863.641
33.12,863.641
33.14,863.641
33.16,863.641
33.18,863.641
33.20,863.641
33.22,863.641
33.24,863.641
33.26,863.641
33.28,863.641
33.30,863.641
33.32,863.641
33.34,863.641
33.36,863.641
33.38,863.641
33.40,863.641
33.42,863.641
33.44,863.641
33.46,863.641
33.48,863.641
33.50,863.641
33.52,863.641
33.54,863.641
33.56,863.641
33.58,863.641
33.60,863.641
33.62,863.641
33.64,863.641
33.66,863.641
33.68,863.641
33.70,863.641
33.72,863.641
33.74,863.641
33.76,863.641
33.78,863.641
33.80,863.641
33.82,863.641
33.84,863.641
33.86,863.641
33.88,863.641
33.90,863.641
33.92,863.641
33.94,863.641
33.96,863.641
33.98,863.641
34.00,863.641
34.02,863.641
34.04,863.641
34.06,863.641
34.08,863.641
34.10,863.641
34.12,863.641
34.14,863.641
34.16,863.641
34.18,863.641
34.20,863.641
34.22,863.641
34.24,863.641
34.26,863.641
34.28,863.641
34.30,863.641
34.32,863.641
34.34,863.641
34.36,863.641
34.38,863.641
34.40,863.641
34.42,863.641
34.44,863.641
34.46,863.641
34.48,863.641
34.50,863.641
34.52,863.641
34.54,863.641
34.56,863.641
34.58,863.641
34.60,863.641
34.62,863.641
34.64,863.641
34.66,863.641
34.68,863.641
34.70,863.641
34.72,863.641
34.74,863.641
34.76,863.641
34.78,863.641
34.80,863.641
34.82,863.641
34.84,863.641
34.86,863.641
34.88,863.641
34.90,863.641
34.92,863.641
34.94,863.641
34.96,863.641
34.98,863.641
35.00,863.641
35.02,863.641
35.04,863.641
35.06,863.641
35.08,863.641
35.10,863.641
35.12,863.641
35.14,863.641
35.16,863.641
35.18,863.641
35.20,863.641
35.22,863.641
35.24,863.641
35.26,863.641
35.28,863.641
35.30,863.641
35.32,863.641
35.34,863.641
35.36,863.641
35.38,863.641
35.40,863.641
35.42,863.641
35.44,863.641
35.46,863.641
35.48,863.641
35.50,863.641
35.52,863.641
35.54,863.641
35.56,863.641
35.58,863.641
35.60,863.641
35.62,863.641
35.64,863.641
35.66,863.641
35.68,863.641
35.70,863.641
35.72,863.641
35.74,863.641
35.76,863.641
35.78,863.641
35.80,863.641
35.82,863.641
35.84,863.641
35.86,863.641
35.88,863.641
35.90,863.641
35.92,863.641
35.94,863.641
35.96,863.641
35.98,863.641
36.00,863.641
